      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   00:09:46    272      0   00:10:18    258      0
 24   00:11:08    355      0   00:20:59    273      0
 23   00:18:28    432      0   00:51:50    268      0
 22   00:03:24     23     78   00:21:24    110      0
 21   00:31:38   1185      0   00:44:51   1277      0
 20   00:21:52    270      0   01:53:23    390      0
 19   00:58:33   1745      0   01:36:36   1333      0
 18   00:09:05     99      2   00:22:49    355      0
 17   00:11:19    130      0   00:17:51    231      0
 16   00:10:38    474      0   00:22:36    133      0
 15   00:03:56     29     72   00:22:50   1140      0
 14   00:10:03    318      0   00:22:11    255      0
 13   00:05:20    274      0   01:25:33   2275      0
 12   00:07:08    330      0   00:16:25    397      0
 11   00:21:56   1331      0   00:27:14    676      0
 10   02:42:09  14955      0   02:46:41   7524      0
  9   00:02:51     64     37   00:05:26     39     62
  8   00:03:57    184      0   00:11:24    399      0
  7   00:12:09    309      0   00:27:24    802      0
  6   00:05:04   1098      0   00:05:52    252      0
  5       >24h  49900      0       >24h  48699      0
  4   11:57:22  44803      0   12:18:12  35610      0
  3   11:28:16  44595      0   11:32:49  41978      0
  2   10:23:14  43705      0   10:25:32  41143      0
  1       >24h  83082      0       >24h  77738      0
